date,min,max,median,q1,q3,stdev,count
2020-05-15T00:00:00.000Z,0.35,29.49,1.76,0.77,2.64,2.605,524
2020-05-16T00:00:00.000Z,0.5,9.1,2.25,1.59,2.62,0.808,328
2020-05-17T00:00:00.000Z,1.13,4.01,2.1,1.69,2.75,0.626,535
2020-05-18T00:00:00.000Z,0.38,4.34,1.45,1.08,2.16,0.688,462
2020-05-19T00:00:00.000Z,0.75,25.41,2.31,1.67,2.9,2.001,537
2020-05-20T00:00:00.000Z,0.24,7.06,1.99,1.43,3.21,1.374,534
2020-05-21T00:00:00.000Z,0.4,7.29,1.35,0.94,3.44,1.739,502
2020-05-22T00:00:00.000Z,0.12,6.7,3.09,2.33,4.55,1.582,540
2020-05-23T00:00:00.000Z,1.14,5.75,2.47,2.2,2.9,0.996,508
2020-05-24T00:00:00.000Z,0.9,9.68,2.65,1.72,4.2,1.394,521
2020-05-25T00:00:00.000Z,0.5,9.77,1.37,1.1,1.66,0.69,536
2020-05-26T00:00:00.000Z,0.8,5.77,2.5,1.94,3.1,1.002,496
2020-05-27T00:00:00.000Z,1.73,8.94,3.22,2.78,4.62,1.109,494
2020-05-28T00:00:00.000Z,1.9,20,3.08,2.72,3.58,1.301,518
2020-05-29T00:00:00.000Z,0.8,24.98,1.62,1.23,3.55,2.037,535
2020-05-30T00:00:00.000Z,0.43,35.47,1.83,1.2,2.4,1.92,543
2020-05-31T00:00:00.000Z,1.1,18.2,3.67,2.29,5.12,2.123,468
2020-06-01T00:00:00.000Z,0.1,7.65,1.27,0.6,1.83,1.946,483
2020-06-02T00:00:00.000Z,0.22,19.25,1.23,1,2.52,2.922,521
2020-06-03T00:00:00.000Z,0.6,17.52,2,1.2,4.61,4.34,445
2020-06-04T00:00:00.000Z,0.2,7.35,1.62,0.8,2.87,1.593,517
2020-06-05T00:00:00.000Z,0.1,4.07,0.85,0.55,1.45,0.725,443
2020-06-06T00:00:00.000Z,0.45,6,1.98,1.14,3.2,1.259,478
2020-06-07T00:00:00.000Z,0.93,440.73,3.35,2.29,4.29,33.603,529
2020-06-08T00:00:00.000Z,1,7.28,2.2,1.95,2.5,0.612,522
2020-06-09T00:00:00.000Z,0.98,6.78,3.28,2.42,4.32,1.207,483
2020-06-10T00:00:00.000Z,0.68,7.1,2.38,1.73,3.41,1.25,504
2020-06-11T00:00:00.000Z,2,51.1,4.4,3.66,6.21,9.26,533
2020-06-12T00:00:00.000Z,2.58,12.57,6.75,5.55,8.05,1.87,544
2020-06-13T00:00:00.000Z,2.85,38.15,16.62,11.48,26.77,9.552,519
2020-06-14T00:00:00.000Z,0.7,194.43,14.24,4.37,23.98,17.894,342
2020-06-15T00:00:00.000Z,0.3,44.35,2.54,0.98,8.82,10.646,553
2020-06-16T00:00:00.000Z,1.4,22.75,10.4,5.03,13.33,5.143,565
2020-06-17T00:00:00.000Z,5.15,20.27,10.27,7.97,14.15,3.518,535
2020-06-18T00:00:00.000Z,3.93,49.45,21.58,16.48,30.23,10.198,502
2020-06-19T00:00:00.000Z,0.1,21.92,1.5,0.6,1.85,1.515,480
2020-06-20T00:00:00.000Z,0.2,17,1.36,0.8,1.9,1.155,558
2020-06-21T00:00:00.000Z,0.08,4.25,2.17,1.73,2.72,0.753,573
2020-06-22T00:00:00.000Z,0,5.87,1.45,0.5,2.29,0.961,553
2020-06-23T00:00:00.000Z,0,4.55,0.88,0.43,1.2,0.56,562
2020-06-24T00:00:00.000Z,0.4,7.37,3.25,2.22,4.3,1.635,582
2020-06-25T00:00:00.000Z,1.08,24.1,8.01,3.47,13.07,6.031,558
2020-06-26T00:00:00.000Z,0.1,49.72,3.8,0.9,5.99,12.743,520
2020-06-27T00:00:00.000Z,0,280.73,0.84,0.4,1.42,20.004,518
2020-06-28T00:00:00.000Z,0.7,22.23,1.5,1.3,1.73,1.355,442
2020-06-29T00:00:00.000Z,0.28,3.5,1.1,0.8,1.66,0.677,477
2020-06-30T00:00:00.000Z,0.95,6.93,2.04,1.7,2.58,0.922,465
2020-07-01T00:00:00.000Z,1.7,20.35,5.51,3.33,11.3,4.797,458
2020-07-02T00:00:00.000Z,0.52,11.68,1.39,0.93,3.37,2.815,404
2020-07-03T00:00:00.000Z,0.2,7.15,1.25,0.82,1.67,0.632,454
2020-07-04T00:00:00.000Z,0,145.47,0.4,0.2,0.7,10.518,491
2020-07-05T00:00:00.000Z,0.47,7.8,1.89,1.4,2.29,0.769,470
2020-07-06T00:00:00.000Z,0.8,9.38,2,1.7,2.27,0.731,273
2020-07-07T00:00:00.000Z,0.6,8.02,1.85,1.4,2.33,0.967,414
2020-07-08T00:00:00.000Z,0.2,12.1,3.07,2.35,4.05,2.097,378
2020-07-09T00:00:00.000Z,0.43,19.8,2.9,1.9,7.37,3.881,462
2020-07-10T00:00:00.000Z,0.1,2.45,0.43,0.3,0.7,0.35,431
2020-07-11T00:00:00.000Z,0.22,8.1,1.1,0.5,1.57,0.929,336
2020-07-12T00:00:00.000Z,0.2,41.3,0.55,0.4,0.7,2.134,416
2020-07-13T00:00:00.000Z,0.3,2.04,0.9,0.7,1.1,0.3,348
2020-07-14T00:00:00.000Z,0.4,14.1,1,0.73,3.3,1.654,411
2020-07-15T00:00:00.000Z,0.4,5.45,1.87,1,2.95,1.22,347
2020-07-16T00:00:00.000Z,0.1,6.68,1,0.7,1.2,0.543,319
2020-07-17T00:00:00.000Z,0.4,9.19,2.08,1.5,2.9,1.051,480
2020-07-18T00:00:00.000Z,0.1,3.85,0.85,0.62,1.45,0.765,454
2020-07-19T00:00:00.000Z,1.02,3.65,2.8,2.6,3.03,0.401,165
2020-07-20T00:00:00.000Z,0.6,3.9,1.1,0.97,1.25,0.32,200
2020-07-21T00:00:00.000Z,0.45,3.92,1,0.81,1.17,0.475,253
2020-07-22T00:00:00.000Z,0.5,6.9,1.35,0.8,2.79,1.616,248
2020-07-23T00:00:00.000Z,0.2,4.07,0.97,0.7,1.3,0.608,290
2020-07-24T00:00:00.000Z,0.1,4.47,1.45,1.13,1.98,0.859,376
2020-07-25T00:00:00.000Z,0.5,19.7,1.65,1.1,2.75,2.24,80
2020-07-26T00:00:00.000Z,0.1,8.63,0.88,0.7,1.12,0.644,441
2020-07-27T00:00:00.000Z,0.3,2.04,1.02,0.6,1.5,0.46,194
2020-07-28T00:00:00.000Z,0.22,2.4,0.8,0.56,1.1,0.385,408
2020-07-29T00:00:00.000Z,0.1,21.35,0.88,0.6,1.1,1.266,301
2020-07-30T00:00:00.000Z,0,4.72,1.41,0.98,2,0.818,406
2020-07-31T00:00:00.000Z,0,3.78,1.4,0.8,1.8,0.747,416
2020-08-01T00:00:00.000Z,0.4,264.7,1.1,0.82,1.8,15.292,399
2020-08-02T00:00:00.000Z,0.2,2.85,0.6,0.45,0.82,0.392,397
2020-08-03T00:00:00.000Z,0.2,4.9,0.98,0.5,1.4,0.681,387
2020-08-04T00:00:00.000Z,0,3.05,0.7,0.5,1.12,0.502,460
2020-08-05T00:00:00.000Z,0,2.7,0.37,0.2,0.77,0.612,491
